iter	Tweedie:variance_power=1.1
0	9.691527214
1	9.691180626
2	9.690852276
3	9.690520369
4	9.690200378
5	9.689894538
6	9.689581569
7	9.689266625
8	9.688974111
9	9.688691413
10	9.688397357
11	9.688109696
12	9.687827461
13	9.68754586
14	9.687272955
15	9.687000772
16	9.686736406
17	9.686475173
18	9.686202109
19	9.685939836
20	9.685676387
21	9.68543556
22	9.685179334
23	9.684939087
24	9.684691357
25	9.684450903
26	9.684259641
27	9.684045499
28	9.68384634
29	9.683628491
30	9.683398253
31	9.683197127
32	9.682998109
33	9.682789173
34	9.682574898
35	9.68237556
36	9.682182041
37	9.682002554
38	9.681806858
39	9.681614616
40	9.68145026
41	9.681278508
42	9.681105556
43	9.680918688
44	9.680745452
45	9.680578181
46	9.680412868
47	9.680240701
48	9.680107709
49	9.679942617
50	9.679789655
51	9.679615229
52	9.679453573
53	9.679297274
54	9.679156715
55	9.678989989
56	9.678839347
57	9.678723123
58	9.67859006
59	9.678436265
60	9.678296545
61	9.678147926
62	9.678009748
63	9.6778641
64	9.67773455
65	9.677598613
66	9.677475584
67	9.677347804
68	9.677224409
69	9.677094876
70	9.676993183
71	9.676864688
72	9.67675345
73	9.676634726
74	9.676512342
75	9.676422285
76	9.676297358
77	9.676188213
78	9.67611249
79	9.676031062
80	9.675932859
81	9.67583318
82	9.675747031
83	9.675632268
84	9.67551918
85	9.675420646
86	9.67532678
87	9.675218178
88	9.675132219
89	9.675040476
90	9.674976476
91	9.674906733
92	9.674824108
93	9.674727554
94	9.674624941
95	9.674528942
96	9.674444728
97	9.674358427
98	9.674268985
99	9.674190536
100	9.674099683
101	9.674038238
102	9.673969871
103	9.673881973
104	9.673821174
105	9.673738706
106	9.67366293
107	9.673584239
108	9.673512386
109	9.67344781
110	9.673370519
111	9.673296853
112	9.673220525
113	9.673134592
114	9.673060738
115	9.672987626
116	9.67293341
117	9.672857582
118	9.6727861
119	9.672716422
120	9.67265071
121	9.672603207
122	9.672550156
123	9.672482873
124	9.672438701
125	9.67236411
126	9.672314932
127	9.672260691
128	9.672208088
129	9.672160874
130	9.672110674
131	9.672065637
132	9.672004373
133	9.671942763
134	9.671887709
135	9.67181994
136	9.671757213
137	9.671707184
138	9.671641959
139	9.671590483
140	9.671534557
141	9.671475378
142	9.67142228
143	9.671392098
144	9.671344048
145	9.671288399
146	9.671235434
147	9.671185038
148	9.671142092
149	9.671097277
150	9.671063743
151	9.671023587
152	9.670998862
153	9.670957208
154	9.670923861
155	9.670880798
156	9.670847313
157	9.670801737
158	9.670757931
159	9.670714882
160	9.670672004
161	9.670627034
162	9.670602637
163	9.670557476
164	9.670515243
165	9.670466071
166	9.670432833
167	9.670404364
168	9.670361417
169	9.670336505
170	9.670315319
171	9.670272445
172	9.670248386
173	9.670220279
174	9.670197285
175	9.670161791
176	9.670142008
