user_id,reference_date,cb__most_recent_score,cb__worst_score
000cac05-0e41-410c-a262-4a00ec93b1d7,2025-12-31,A,A
001ec6cc-1e09-41d4-b12e-32bbdc0c18af,2025-12-31,A,A
00302517-ed52-48a8-a2d0-d9dbb2120257,2025-12-31,B,E
0069b18a-9417-4926-93f4-d5be121faa5d,2025-12-31,B,N
011f5983-9972-4004-a4b1-23878ddf1820,2025-12-31,E,G
012485ac-8033-4c04-a814-dfb41774a343,2025-12-31,C,F
01684c28-bf66-4d24-8442-16ffcbf6dbe1,2025-12-31,C,C
01a93e88-b1d7-474a-9012-c5e99abc72d1,2025-12-31,B,C
01edae76-c251-4126-bf61-efdbc0023e01,2025-12-31,C,C
01f4d84a-0266-4f8c-9360-99a9619f0ed9,2025-12-31,A,C
024a3a06-bdae-4803-a222-5b281e297814,2025-12-31,F,M
030af1f4-d60d-48be-a576-de2ff0609bc7,2025-12-31,C,C
0311d7b2-c352-4b6a-831f-2b0a133efa8b,2025-12-31,E,G
032ea3c8-5200-4059-98c5-4a7b245c2a32,2025-12-31,D,D
033b42da-e46c-4102-948f-141f00f9ff59,2025-12-31,C,D
03bc4154-19e0-4623-a118-a135b6cf3512,2025-12-31,C,C
03cd7563-cd37-47f4-8974-e05d161d0174,2025-12-31,B,B
040b9c7e-de8e-471d-99b2-c2898bd69098,2025-12-31,G,G
04216dbc-2437-485b-b9ee-aa6a448c8ac3,2025-12-31,B,D
042f8899-901e-45d6-8d83-3a0612ddf5bb,2025-12-31,D,F
04405992-bc87-4f6d-8516-8ea93e9c7aad,2025-12-31,D,D
044065aa-8128-4eeb-9053-c4e851a71baa,2025-12-31,G,G
04499845-a2c8-471d-a4c5-b52c9853b415,2025-12-31,A,D
04599ef2-666d-4b5d-b0b7-ff54cb7440a7,2025-12-31,C,G
04762efc-d385-45df-bf7c-057bb2497e61,2025-12-31,E,E
057536c1-950a-4bae-a5a2-4ad2215bc4b9,2025-12-31,A,A
05ed0cc0-3da9-4a40-82ab-549cc8b80e5f,2025-12-31,E,E
05ed31b2-446f-463d-836b-d05c5f67994d,2025-12-31,C,C
0609f0f9-d360-43a2-9ae3-af8792d6c7fe,2025-12-31,D,M
064918c9-940f-4610-9cd2-5d8edeb14590,2025-12-31,E,E
064fb559-350e-4340-b724-94fe5e8e5b39,2025-12-31,D,D
06712301-7ad0-4b1a-902c-10836f353318,2025-12-31,F,F
06816574-551c-40ae-a25c-53abbffe18bd,2025-12-31,A,A
06b086f4-7ff4-41b3-b13c-9e929bcf45a5,2025-12-31,C,G
06ba5410-46c4-4ad2-882b-4f73ea187b2a,2025-12-31,C,C
06c98160-cffc-40c8-941e-64d5404a53a0,2025-12-31,G,M
06d04291-7a41-4428-9083-25053974e34e,2025-12-31,C,F
06e0113f-55b3-49b7-8e7f-00d9d4afe0eb,2025-12-31,B,B
06f7aac1-1dfd-4866-ba8c-83a93f3f800f,2025-12-31,B,G
06f8edd5-1439-4649-a114-298edb62fb1d,2025-12-31,G,G
072942dc-81f8-4a7e-915e-70d2d4a9e0ae,2025-12-31,C,C
078062e5-b84b-4f4c-a2d9-e6f8afc5dd64,2025-12-31,D,E
07ad278c-6d4e-4910-b0d5-209f2a411766,2025-12-31,B,F
07d44faf-bc34-4b5a-a2ea-014d7073cbd0,2025-12-31,E,M
080a051e-17a2-4f0c-b590-f87af2815c37,2025-12-31,A,O
0848cd42-1c6a-414d-8c6c-ffc3a8b07f39,2025-12-31,B,B
084ba6a8-7b85-49ef-958a-f297b9392b82,2025-12-31,A,A
08811244-7b08-4204-aafd-b2eb40864442,2025-12-31,B,B
0897d6cf-be80-49a6-8cc9-0b7341fb745c,2025-12-31,A,A
092188fd-f377-4420-87ab-b20b1b0ec1fc,2025-12-31,C,P
093cdb40-c1d2-43d5-acb4-1b4652809aad,2025-12-31,B,B
095e9570-4076-487d-ab65-af61d66fb48a,2025-12-31,C,E
09e33779-2307-4813-b32b-0cae22f58d56,2025-12-31,E,O
09f53ed1-f7d4-4cef-bcf6-f652fc28cdc3,2025-12-31,B,B
0a15ab87-123a-454f-bdd4-eca4f9987ab3,2025-12-31,G,G
0a2b2eb5-4050-4271-974c-9e246688c481,2025-12-31,M,M
0a6b5cdd-6fe7-40ea-b446-b0fb4c85c406,2025-12-31,A,A
0a6ba038-aea5-47f1-b256-77ec13e3e605,2025-12-31,G,G
0a701183-0e4c-47e0-8466-ccc71c5f6c48,2025-12-31,B,B
0a7dd328-6c7c-464a-a889-27d7eb15fcbb,2025-12-31,E,M
0a887f99-8aa8-42b8-8ed8-4f4a4c2ded7e,2025-12-31,G,M
0acab4e9-4922-4581-90e7-9bad57b9e3f2,2025-12-31,E,G
0ae3844a-8e5e-42cf-b775-ca3ee5fb3c37,2025-12-31,F,P
0b23eb9c-4ae2-4124-bae5-df1929dbf825,2025-12-31,D,D
0b3080a5-1db6-4e42-9100-0c88d63135b7,2025-12-31,E,E
0b311c35-6b16-4329-a024-ce5cb3cb08c1,2025-12-31,M,P
0b35278a-e8f1-4f17-8646-520d12b7ff4a,2025-12-31,B,B
0b5e6c17-8c47-4d34-b444-2f751982eed6,2025-12-31,B,O
0c5787b8-2063-4e58-8d26-558eab694452,2025-12-31,E,M
0c5c5b91-a1c3-469a-a7f2-6deb3ab07505,2025-12-31,F,M
0c777701-868d-458e-9427-06ce4ade0d1f,2025-12-31,B,B
0cbaa901-7771-4cfe-9b62-0680f3b1eadd,2025-12-31,C,D
0d1796e3-1099-47fe-a046-7f934b501f0e,2025-12-31,C,G
0d19865e-e210-4dde-a1e7-1832112f2122,2025-12-31,B,M
0d3cef98-0cb9-454c-a650-f439be9e0453,2025-12-31,G,G
0d419475-aa1b-472b-9dc0-3d6db5e65dc6,2025-12-31,C,E
0d5bfbaf-18ed-4304-a923-f621c60c5c33,2025-12-31,C,C
0d838666-4ab3-4938-9e17-d416dced2637,2025-12-31,B,B
0d904e8a-c1aa-4cbe-a3e5-a049de238070,2025-12-31,A,A
0e5da89d-f4f0-4497-b4a0-600c55f93f90,2025-12-31,E,E
0e6e11fd-220b-459f-9082-60edaef33297,2025-12-31,B,M
0ec582ca-36a9-4e79-9d09-faaa1d83bce1,2025-12-31,A,A
0f6dd4ca-3458-413d-ad2a-9b96c262a7a2,2025-12-31,D,M
0f9bcb8a-29f5-42f5-95aa-be167d478873,2025-12-31,D,G
0fc51009-0cdf-4053-92ae-84b7990a5999,2025-12-31,B,B
1001920a-cc25-4667-b5ae-4d46e5ea2ad6,2025-12-31,M,M
10196930-070f-4a22-90ad-cb2c3d28d1fd,2025-12-31,B,B
1059cc5b-bb7e-4d56-a1a8-138dd27c89fa,2025-12-31,D,E
105fbf69-f291-4f12-96cc-3202a06fb347,2025-12-31,M,M
10ac8ece-5336-4ed1-bde3-51841daaee76,2025-12-31,D,D
10de44d7-89db-45c7-a30d-738f691046fc,2025-12-31,B,B
110e3aa8-c06e-4b9e-966b-7643c73bcfa0,2025-12-31,A,B
11172b90-fb40-4d73-8d24-9216d081e8cd,2025-12-31,M,M
11438f34-eb8d-46ce-af98-4f38c21df3b2,2025-12-31,B,B
11767d31-5cd9-45d1-b712-5194b904e1ca,2025-12-31,M,P
11815ed1-a5dc-4976-98bc-da2f7c465eb7,2025-12-31,C,M
11c39b03-f64c-4116-bbab-1ffa933759d8,2025-12-31,E,E
11ce9ed1-be7d-43c2-9e73-b4402f14f7d9,2025-12-31,C,M
11ede0c7-3e20-4849-b633-521b614e1821,2025-12-31,B,G
123a4ecc-9c68-458c-a25a-3586862bb82c,2025-12-31,C,C
12aeb166-eace-4073-8137-0c71a7c54f87,2025-12-31,B,F
12d14206-5c97-481c-b3a5-ab8d2842f14b,2025-12-31,E,M
130dafb8-2567-445d-a0e1-95840ae3557e,2025-12-31,B,B
13189a8d-491d-455c-adad-a92d512c4b00,2025-12-31,F,F
1340b866-9171-4787-9c47-5ed0580e2d7e,2025-12-31,B,D
1356e869-afb8-49d7-8923-e25153e99d38,2025-12-31,B,D
136a6445-e657-4fee-ba68-d9de8926191f,2025-12-31,D,D
137db00f-3411-4452-9ecc-026c5168f7c8,2025-12-31,M,M
139b48e2-9d53-4086-adfe-0c42a4198790,2025-12-31,A,M
13bcc9cc-f63d-420b-ba27-301df0968975,2025-12-31,M,M
13d1edaf-2521-47ad-9a0f-fd1213042cbc,2025-12-31,B,B
13e7f7bb-e25f-409c-9dc4-f215406a31aa,2025-12-31,G,M
141a657d-6f11-4ba2-b416-f2aa0ee97ff8,2025-12-31,E,E
14271ab9-3a6f-4838-8037-329e29efa863,2025-12-31,B,D
14297596-568d-4b3a-9cdc-ec15287c5139,2025-12-31,C,C
1434b24c-cbb0-4c8b-97a8-30f6fc359aa2,2025-12-31,D,D
14ca9ff3-8bf7-4d05-8704-505b0b0689b3,2025-12-31,B,C
14e4ab75-15ab-4bff-8a5c-d934fa37c075,2025-12-31,D,M
14fabefc-2ae3-4c81-a37c-1218ea57c518,2025-12-31,E,E
161b199a-7710-4be2-8fd1-74e73a4db60a,2025-12-31,C,C
1632293e-9595-4fe2-82b7-e4e393910eb2,2025-12-31,D,D
163eaaa6-7046-4f97-857e-3376bee1244e,2025-12-31,C,D
1662a877-5e0e-4ee8-95d5-a448fe703e59,2025-12-31,F,M
00028195-cb73-407c-b94f-452a21063d42,2025-12-31,B,B
0018ee1a-3f43-4088-a8da-45f84a39f3c5,2025-12-31,B,B
00bb9edb-0717-4230-85a5-2667afc5fa38,2025-12-31,B,C
00e8f107-d3f7-4a8e-8bcb-ed919bdbf7b2,2025-12-31,E,M
01002349-ef84-4a15-8986-9784d247808d,2025-12-31,B,E
0199ab20-1ebe-4b60-bcc2-cdf36dc891c2,2025-12-31,D,M
021c43f8-db8c-4239-a5db-bfe48cee34be,2025-12-31,B,D
02201e55-4ac8-4770-9e57-450d57a2ebd8,2025-12-31,C,E
0256cdfa-72d9-48ce-a4a7-06eeb061deb0,2025-12-31,C,M
026121d6-aee5-4125-b2de-c6baf6959245,2025-12-31,C,F
029b100a-8fe2-4ee3-a236-a66513b37253,2025-12-31,C,C
02cf9685-269d-47af-b813-b885b6aefe12,2025-12-31,G,G
03ef4f23-531b-47d6-8b6c-adf9782d0b0b,2025-12-31,A,A
042c8b14-49f8-4073-895c-225ad6b63489,2025-12-31,F,F
0447340a-a5eb-47e4-8f96-592481ddc42b,2025-12-31,C,G
045d0de7-cf2e-4413-a20f-7134dbd4eb78,2025-12-31,B,B
0475cb96-32a2-4381-ad4b-d80472f30a36,2025-12-31,B,B
048a8d25-71c6-45d1-8143-bb91e9a41087,2025-12-31,D,E
04909e26-bac4-4476-865d-1acf51a9125a,2025-12-31,B,C
049624a7-e940-4042-83e3-3587e2ffc0f7,2025-12-31,C,M
0496934e-43b1-4c13-8669-d2889dc7e0fe,2025-12-31,M,M
04c861d0-e80a-49c9-8028-427b6eba03d7,2025-12-31,A,A
05101913-db26-4453-9908-40f87ef64f1b,2025-12-31,B,F
052b5b43-f9bc-436b-b721-09560b5aa8ba,2025-12-31,G,G
05396571-ad68-46f5-ae45-a14442217a9f,2025-12-31,B,B
053f2328-674d-4be9-afa8-276b8ae9951c,2025-12-31,D,D
0540b028-ff07-4b8f-9101-397efc06d9d0,2025-12-31,M,M
055f77f8-88a3-4739-99e0-3e3487b8c4c1,2025-12-31,D,D
056e881b-5588-4f9f-8296-e70c9944f882,2025-12-31,E,M
05cb5cf3-917b-46b2-a21c-43c53b95a2f3,2025-12-31,B,B
05f3d07d-7ffd-4015-8cce-bc59ce0b1407,2025-12-31,A,A
065ee094-a597-4093-947d-a67c85a1388b,2025-12-31,D,D
065ff857-645c-4d56-9c94-3cd4f470501c,2025-12-31,C,C
06c90f5c-e310-491b-90d6-bd8486d0443f,2025-12-31,B,G
06cb80a1-3b21-43d9-9e78-9ebbb325534c,2025-12-31,F,F
072b0576-3195-4686-8016-d1e2152130c9,2025-12-31,B,B
0740195a-f721-4e08-aef3-ec763da6f0b3,2025-12-31,D,D
0767f5d3-1179-4916-b5c6-8629be0ac85b,2025-12-31,C,C
079c1bb3-faef-49f7-aea9-4f8a648e34bf,2025-12-31,E,F
082ec984-f6ff-4dce-addd-236fa63a1f4d,2025-12-31,G,M
08305850-212b-4339-9179-7678a3ca9fb5,2025-12-31,G,M
0844e195-47e3-4446-a0fa-3d5108ec23a5,2025-12-31,F,F
0848a583-54c3-4bec-8ebb-36b71f6e731b,2025-12-31,F,M
085153e5-25be-4843-86ba-04eec00529f9,2025-12-31,C,C
08779553-43d3-4189-a1cc-6d93ab0f55af,2025-12-31,B,M
0883c816-4868-4a6b-ac92-94598cbb09ae,2025-12-31,D,D
0887b768-9698-4431-a435-4ef7dd4eb2a1,2025-12-31,B,M
08d30c45-3924-4fb4-b4a2-551cdcd0dbe7,2025-12-31,M,M
0925c07c-4bd5-44ad-8dba-1a20f8610597,2025-12-31,M,M
095ad47d-0ad6-48c7-adf1-ecfad55c4b90,2025-12-31,F,F
098b65ff-8920-417b-8a05-317ea857a1c9,2025-12-31,A,B
0a01924c-b05c-413f-bd97-919e0ce6f3aa,2025-12-31,C,C
0a34d04f-adb1-461a-8699-56ed2cac421e,2025-12-31,M,O
0a38b0dc-9299-4823-91a1-013cf33b4074,2025-12-31,B,B
0a6a5169-0f2c-42d0-9481-9f48e628340b,2025-12-31,D,D
0a9d65b6-5ab7-4a97-a4fd-3132e10733d6,2025-12-31,B,F
0af6990a-e271-44a3-8828-9fe7a74c5237,2025-12-31,F,O
0b22b9b6-4335-4918-b4ab-fe31ad3d6c85,2025-12-31,F,F
0b333520-45f5-4fcf-83e1-b8c8ee62086f,2025-12-31,G,M
0b5b87be-40da-4d1c-8096-647ce9270aff,2025-12-31,C,C
0b946c7e-722b-4cfe-9886-2c9e71c9ccb9,2025-12-31,M,M
0c1106a7-0fb4-4f65-bab3-af3804b34e2b,2025-12-31,D,G
0c4527b7-3201-4bd8-8efe-34ce5645ebc4,2025-12-31,G,P
0c8680c1-0cd0-4ed8-b762-a842b7904d3f,2025-12-31,E,M
0c8c3b49-3e22-4f2f-bc05-2b10185aa51a,2025-12-31,C,M
