user_id,reference_date,od__history_length_days,ob__avg_util_0_1m,ob__avg_util_1_2m,ob__avg_util_2_6m,ob__active_days_0_1m,ob__active_days_0_3m,ob__max_util_0_1m,ob__max_util_1_2m,ob__max_util_2_6m,ob__pct_days_util_gt_80_1m,ob__pct_days_util_gt_80_3m,ob__std_util_0_1m,ob__std_util_1_2m,ob__std_util_2_6m,ob__overlimit_days_6m,ob__full_repay_6m
fad0ae56-4102-4e2b-bec8-28b74af28233,2024-10-10,1,0.0,,,0,0,0.0,,,0.0,0.0,,,,0,0
79b4d02a-de38-43fe-a4db-8cfb51e41ca8,2022-06-02,366,0.70719,0.369083,0.94259,31,87,0.81522,1.019351,1.019351,0.2,0.4444,0.108405971127839,0.316884287080381,0.116376825828566,17,1
0c806f9f-261f-4e44-adfe-2b4518428b57,2018-09-16,366,0.868797,0.716078,0.637577,31,67,0.97056,0.999426,1.013846,0.9,0.5555,0.0522021992867148,0.406777630765305,0.37906989987114,5,1
5fdc39c1-54a9-4a26-8265-b01a5a73f1ea,2023-03-03,366,0.979249,1.011815,0.984146,31,91,0.999721,1.027331,1.019218,1.0,1.0,0.0552815844989837,0.0181397290758069,0.0287910702044113,29,0
7a5dee0f-0b70-4457-af04-23d219dcf721,2022-01-21,366,0.028918,0.870408,0.941756,1,60,0.896466,0.990413,0.99044,0.0333,0.6666,0.161010046686735,0.167266082863781,0.047496076805338,0,1
82ed77a3-3860-4bcf-b4b1-e3e60ba9910e,2023-02-01,366,0.9344,0.911253,0.899856,31,91,0.9344,0.9344,0.9096,1.0333,1.0111,4.05396129632541e-17,0.00629196166622108,0.0104604505582867,0,0
a7f2a822-619b-4e43-847d-96c40605c938,2022-04-29,366,1.009048,0.999778,0.995664,31,91,1.022074,0.999859,0.999862,1.0333,1.0111,0.011252879381769,8.77830135693059e-05,0.00395831604328485,13,0
14dac4f3-0584-4806-bc47-4ad75ff5ccc7,2024-02-08,366,0.465972,0.297185,0.651946,17,49,0.99008,0.95336,1.08696,0.3333,0.2555,0.434925214032586,0.373253457010882,0.426076154143012,46,1
a269078e-18fb-43b4-8ce1-ca4516910cb3,2023-06-16,366,0.925036,0.928692,0.726097,31,91,0.99666,0.996933,0.987476,0.9666,0.9444,0.0619161532285692,0.0587940421999279,0.200413866434653,0,0
7e2b358c-0f7f-4a11-982c-47371e890689,2024-12-28,1,0.0,,,0,0,0.0,,,0.0,0.0,,,,0,0
155c0cb1-34e5-4036-be27-c5aa7c48a0cc,2023-09-28,366,0.999589,0.998072,1.000592,31,91,1.002755,1.001438,1.031556,1.0333,1.0111,0.00624716551828942,0.00624532066016437,0.00912889206137741,43,0
f16a93d9-80f2-4feb-9fe7-a24bb7de3cf1,2023-09-03,134,0.560075,0.338472,0.202,26,54,0.99884,0.99144,0.99144,0.4333,0.2,0.347669517663338,0.333005646860409,0.320866105468003,0,1
fc72377f-c169-4d3b-ada5-c7d7a53a44e3,2024-05-24,366,0.970247,0.903336,0.860451,31,91,1.04708,0.90912,0.90628,1.0333,1.0111,0.0454351316868108,0.0117657579148284,0.0607474186524924,11,0
4bfd03d3-a174-4111-9639-29bee9cb7c8a,2019-12-01,357,1.387274,0.438312,0.528252,17,74,15.74896,0.859872,0.861483,0.5666,0.2111,3.23198960453069,0.275864726900498,0.203327333076856,1,1
86c3053d-09db-4abd-9d70-3912b278c149,2025-01-28,1,1.0,,,1,1,1.0,,,0.0333,0.0111,,,,0,0
cac2ac34-baf4-49b3-b145-6abcabec3f89,2021-03-23,270,0.543534,0.615501,0.548881,31,91,0.548356,0.629583,0.679588,0.0,0.0,0.00843268623638338,0.0238547151767123,0.085506970946384,0,0
27a72270-0d73-49e1-9bd4-bc1e12a3723a,2021-12-02,366,0.2349,0.2349,0.228872,31,91,0.2349,0.2349,0.2349,0.0,0.0,5.90961332560954e-17,5.7393417032584e-17,0.00225151989741607,0,0
3e204bb1-abd2-4c76-b014-8ec19f0b4a5c,2022-04-25,360,0.098577,0.213257,0.121637,29,89,0.295453,0.359991,0.501973,0.0,0.0,0.0814207565950589,0.07802108131811,0.134669459227891,0,1
73b99ddb-7ecd-4000-b7d8-cff5ddfa2bc1,2024-05-03,304,0.993414,0.844294,0.066251,31,78,0.99664,1.01064,0.86242,1.0333,0.6666,0.0179605302026775,0.26054951050583,0.189708031036506,3,1
4f29bf8b-f431-4f3b-9213-7281707bcdfb,2024-01-31,366,1.010771,0.988352,1.006907,31,91,1.032908,1.033537,1.030582,1.0333,1.0111,0.0180790926158617,0.0253608002059519,0.0189848401333705,55,0
596b1968-c313-4450-8f88-358c8c5e5f28,2020-07-13,365,0.257661,0.499301,0.465505,10,42,0.95332,0.99008,0.99828,0.2,0.1777,0.387452215480722,0.41699002204,0.457848746424966,0,1
58549e4e-8b5b-4be3-8fc8-9864ad57bd35,2018-11-27,1,0.8174,,,1,1,0.8174,,,0.0333,0.0111,,,,0,0
0a6785e1-4027-46a6-a8a8-7d737b0cf308,2020-11-18,281,1.036731,0.929905,0.814573,31,91,1.06508,0.99748,1.02988,1.0333,1.0111,0.033908856964592,0.0673587021607573,0.262398292130809,49,1
