user_id,reference_date,dn__recent_action,dn__max_action_level
bda08959-e21d-49fd-8e49-f304c078578b,2021-11-30,1,10
50765353-81a2-491d-9aba-cb1d1fcd47a1,2022-05-18,1,1
d0235fe6-9122-4ba7-9532-c04a6593b266,2022-08-03,1,10
89379f3b-5fc2-43c4-94cb-03f8091082c6,2022-11-08,1,90
3d11b1f4-511f-4e4f-a42d-68ac18a17952,2022-10-06,7,10
cfb95f2d-ee18-4e44-83e4-b20d83fd8b4f,2022-10-19,10,10
720744ea-f246-49b5-8cf4-3fd471975175,2023-05-29,1,1
09a4bd5e-0cd4-4735-bfe0-34366a6786ff,2022-11-05,7,10
97e6b5da-e6f1-4f60-90b6-b833cb31d257,2022-12-28,1,1
0f116de0-fd69-43dd-96ae-2b7fb62296b9,2022-06-01,1,10
cea3b822-f01b-49cc-90da-e3c7e999faec,2022-09-21,1,1
1c6ba2b6-878e-4a05-a9a5-17c8237b7d53,2022-03-05,1,1
710b9fe7-6896-4ca3-9c7b-8592d586681b,2022-12-03,1,10
7f21d063-f714-4251-84b0-aa1d44c87f74,2023-11-24,1,14
b981ccac-367a-4150-9c31-e351997a8f1c,2023-05-28,1,10
dbf7ebab-da98-4413-ab9a-4576c85e5fc5,2023-06-29,1,10
c32a3b89-85eb-4b4e-9210-9443b33e3b2f,2024-05-24,1,30
92ba7898-2051-441a-8855-9a15dad6128f,2024-05-24,1,1
b1186d4b-5ba7-4983-8b63-43bed5ed1aaf,2024-08-01,1,1
cf178f9d-e40b-4233-a176-7c398f466572,2024-01-31,14,14
a8a85c08-808a-419a-991b-a962c799371e,2024-07-31,14,30
5de6de73-e128-44ac-918e-676ff019a002,2024-04-29,1,14
8035c8a3-bd63-4012-8fc4-a6a4411e30dc,2023-03-13,1,1
cf454a14-bc34-45f8-8948-fbd7289a7682,2023-03-30,1,1
3567e552-3c6e-41f2-a780-015c45035b6a,2024-02-03,30,30
be8d5070-2626-4310-a83b-3b79e57ad96b,2024-11-05,10,10
4ed9c56a-756d-45c0-8e8e-f79a89f3c5ab,2023-03-03,7,10
00a56036-9c41-4479-a90e-31b8cb7593a8,2023-06-29,7,10
b535d9ee-df38-4d53-8318-2671c6587762,2023-03-25,1,1
e736f7c9-5961-4bae-9bc4-62dfb9d1c689,2023-07-10,1,7
c88fd579-6e7d-4f21-8bfd-1a52db9e4fd7,2023-07-21,1,10
f08a2506-a910-4ce3-8b65-8b06c353091a,2023-10-31,14,14
69ff7115-bbaa-46de-a424-eafc93b71f8c,2023-06-29,7,7
e889da78-d502-40cb-9bcc-3f6ec183d52e,2023-12-04,10,10
7cd419cc-ce98-4451-a883-a42b32f868ce,2023-05-05,1,1
55ede91d-a168-4a9b-8afb-0a1bf25144fc,2023-01-30,1,1
1751e4ed-2577-4f92-aa1d-4873681d5604,2024-09-27,1,14
a96146e4-6ca0-47d5-b437-5d0493764e91,2022-04-04,1,1
7dda6708-fc77-4de4-acb0-f1849e557efb,2022-05-05,1,1
dfa7b914-99f3-465d-984b-8beb8bb2cf1f,2022-06-04,10,10
1ef088bf-7a3e-49c9-bbf2-696ae8e24550,2022-08-09,1,1
9701fe0c-c67e-4565-9599-33f806c09b61,2024-04-18,1,1
9174792a-afc9-4abb-9bd0-2beb2015ae15,2023-06-29,7,7
8f1753b2-8d6a-4eff-87aa-69824d525113,2023-04-26,1,1
995f9c54-ee95-49b5-a889-d0f35d79ecc8,2025-04-09,90,90
fbc1d6e7-4f9b-4aa3-a646-d2e67529d129,2021-09-04,1,7
89b210b0-f3b0-47cc-a014-62d129eda330,2022-04-16,7,7
ceb88a57-4f08-4385-871f-470014fccf44,2022-06-04,90,90
4b51e93f-5866-4982-89fd-8f8b78e0be57,2022-05-04,1,10
301984f6-c980-4851-bc4a-1c6045ab4b49,2022-02-22,1,1
cae14389-c3ee-4529-8580-79ac2e4b089f,2022-08-30,7,10
d39c6129-7b5a-4be4-b315-7cb031e856d2,2023-01-01,1,10
037a68a2-6a11-4849-b2b1-cb01ab070f5e,2022-04-09,1,1
4e647ea4-9353-46d6-975c-9259d18d3f25,2023-07-16,1,10
93d91151-c60b-4fc8-b7e3-e00c5f749eef,2022-12-28,1,90
08ff6cd8-1312-4718-ac70-d1d942497b22,2022-07-23,1,10
73b510d8-5074-4a8b-b44e-0a39d3b241ea,2024-05-03,7,30
d0625de4-35c8-4f1b-b307-a1c44b3ff810,2024-05-24,10,14
9e02251f-7121-4aae-89b4-4fb34824a6cd,2023-10-29,1,14
01e497f5-7a28-4fea-aefb-687a84a9868e,2023-03-13,1,1
fa1804c9-d17e-4c8a-802b-37e07353bab3,2024-01-15,10,30
a4203c00-c170-472c-985d-8b2f2c1b684a,2024-01-31,1,1
38f2fbe4-48dc-490f-a098-1ab5747fbf07,2022-09-25,1,1
4bc7c55e-8368-42c9-98e2-7ff5bdf8793d,2022-10-08,1,10
b9df98bc-86fb-41b2-a326-eb77294e0767,2023-08-02,1,90
1306e6b3-9fec-4a6b-bafd-86d677200599,2024-01-31,14,14
185953f2-3f76-4d53-9ec8-a2bb0fa4e3be,2024-07-31,1,1
71c2e768-9a05-4062-bfc9-75ff444d906f,2024-08-12,14,14
1beaef26-15db-49e4-84b5-70315c12f8fe,2024-07-31,1,14
82d4e0a5-e46f-4d66-af65-98eec296ea99,2023-02-15,1,1
bd6e93e0-bee9-483e-bd94-c54a10d25092,2022-07-28,7,7
71d7d033-90ea-42ed-a84a-dffae7f0e763,2022-11-02,10,10
99649544-3cb8-43cc-9ff5-b28bd75a5d0a,2020-01-01,1,7
79a6b4a7-6b3a-4d0b-90c6-bc2f14f78c9d,2019-09-16,10,10
2bf4056d-a68f-40c9-8df3-d4453cbaef5e,2024-10-11,10,10
08765acc-4227-490b-9b89-c0a0a0607ec9,2019-07-16,1,10
ea8150bc-2c3b-48e1-905d-a7dff2e2054c,2022-01-29,1,10
7dd7f27a-f81c-45ab-8290-8fa1d8a56fe4,2022-02-04,10,10
2f33b8e1-e2cf-4442-8fe2-37b87474df72,2021-12-30,7,7
cebf7462-c2af-4048-ab22-77f1ec328f5f,2022-02-04,1,7
872fbb3c-8043-4e4a-a920-2ca40625f9b5,2021-01-04,1,1
7d0ac4ed-a866-40ef-a886-5be41874e29b,2021-06-10,7,7
2f6923c7-6ca1-44ce-8bdd-445474666435,2022-05-24,1,10
b8b06437-a4b8-4781-acb7-c088dcd40f4c,2022-01-19,1,10
29f634eb-6eb0-423f-becc-fdec43f3e691,2021-10-16,10,10
4fff8b63-23d7-4339-b4c7-6288659ffabd,2022-11-19,1,1
59e2dd44-7fc5-4a2e-8c0d-51b9dea09a32,2022-10-09,1,7
6392bda1-2496-479e-a9c6-49c29c014396,2023-02-07,1,10
1af3c4ee-efc9-4aea-a99f-de23715fa7b7,2022-08-22,1,1
5c58a81f-2938-47b6-82a1-b0549d90722f,2022-08-17,1,1
aa085426-3a2e-4294-9566-9168420460e9,2023-06-19,90,90
04627b66-2776-424c-a9b4-1f98988c918c,2023-05-29,1,1
77d239d7-2820-4ed6-a9ad-91859e6b22dd,2023-07-16,1,1
60cbac88-6ef3-401e-906d-1af607633802,2023-06-29,7,7
b4dc60ea-3d06-4dee-954b-3e99af38dac0,2022-02-27,1,10
eec663f4-ea81-4f14-94f7-0f1b63c4a9bf,2022-07-13,1,1
4f244762-8a51-45e4-b4a1-33f12feca099,2022-03-04,7,7
976f0d4e-396c-4a5f-8fbd-b3648a4ed3f0,2022-03-05,10,10
6ad4d51f-73bd-4f8f-9b01-601fa806998b,2022-07-20,1,1
23608fc2-a299-47d8-934a-b34c0c8d19a8,2022-12-24,7,10
39f0cde9-7a48-45bb-8761-0b83425c940b,2022-12-03,7,7
20558141-f7e3-464b-a805-e523b5246626,2022-11-29,1,1
b49c7aab-1c1f-4afa-ba60-f43c04fbb00c,2023-10-01,1,14
b8053c1d-9651-4b9e-b7ff-4155fe251e55,2024-02-18,14,30
8b05850e-6e31-427c-8768-bd0dfa70e827,2024-03-30,1,14
1f5f28d2-3b40-40df-8108-91373a3fbd25,2024-01-20,1,1
7aa022cf-d285-4030-afb5-819429336189,2023-09-28,1,7
1b259a21-073d-4cbf-aa4d-db4990111333,2023-11-01,1,14
543e8f2b-51ad-473a-8dcb-eb8e8782e3fd,2024-08-08,1,7
ed834806-c9f0-4c1b-8473-2fb32d885615,2024-07-31,1,1
af7f18ae-6fb8-486c-b9ad-7e3507b0e111,2024-09-05,1,1
d93f624c-9d95-4cd3-aa82-12389c8c7755,2023-11-11,10,10
fb4f500a-d63e-4c11-8a9c-b0e2d6d75ce3,2024-04-30,1,14
a4b773cc-c4eb-4d89-aa40-71fa4f95ad95,2024-09-27,60,60
22788658-18c2-41e6-9dbe-d6bbbed0d021,2024-07-31,7,14
85e65f7b-c7a2-4a91-8804-785366e05cbe,2022-11-04,1,1
36992ee4-43f7-4b15-8d6a-b43bbe3dd4bd,2023-07-03,10,10
6dd4dcd7-1b75-4e61-a79a-cb985d5ae7da,2020-08-22,1,1
1023332b-ebce-42cd-b188-f21e499988fc,2019-12-06,1,10
d516b03c-2528-4b1a-9a68-a1c09364ec2a,2024-08-05,10,14
49091998-c4c3-49fc-bb67-86c39fd03462,2024-08-02,14,14
6128463e-47b8-41dc-b5ad-fab76cfc7c0b,2024-06-18,10,10
a7959c20-1c86-4a96-9969-a60dbbef56d9,2022-05-25,1,10
c9c4f2e3-cd86-4a14-b2c6-f9a12cb1ea83,2022-09-19,1,1
0a3987d4-f4be-4103-a70f-f3c301706de6,2019-07-08,7,7
b6a91711-eb55-46cf-8702-51d20393b4aa,2021-05-09,1,10
759e663e-bf9c-43b7-b9c8-ff41cff3c486,2022-02-26,1,10
183ccd35-6c7f-4d21-8dca-30a36cb12c02,2021-08-30,1,1
62131f78-7726-424f-863d-25dfd6def680,2021-01-30,1,10
4ba0da63-2703-4ee7-90c5-6f97e430b78f,2022-02-07,7,7
65f3498c-7090-4ad3-85cd-b68c6404fb4f,2022-03-27,10,10
211384cc-5bc1-41d2-b0d7-d874d10bfd6f,2022-04-20,1,10
d79f33b5-d2f8-42d7-91ea-f194f422537d,2022-04-07,1,10
6231afbe-b745-4b2c-8a4d-b7af6ed3de2f,2022-03-28,1,10
f42b6662-e6e1-4d24-8280-64244b5dd3d7,2022-03-05,1,7
331272d5-6ea7-48bf-b52a-0fb79fc3f42c,2022-07-11,1,1
b9d95f9c-6861-497f-9b37-af8e90354b3d,2022-07-17,1,10
a3f377e6-086d-4438-bd8c-2dbe153caddc,2022-12-29,10,10
8ac0d114-fd90-444c-a403-537fc550a53d,2023-05-29,10,10
9a73cde0-46a7-489d-8414-ca05b1c08030,2022-06-16,1,7
356e388e-6434-4fd7-b411-cd855f81a999,2022-04-09,1,1
a82bb26f-b792-4de4-acad-0446a5befede,2022-05-22,7,10
b0f4ae95-80d1-43b6-8d2f-8722482f36c1,2022-06-04,1,10
4de037a8-95e6-4a0d-8aa4-699f6268230f,2022-11-02,1,10
d06cfca4-787c-4f48-b1ec-021bb0ee684d,2022-09-06,1,1
1fdece8f-d84a-4500-9ca4-386657d092d9,2023-01-29,10,10
510d8c4c-2eb5-48b5-8a3c-3d67c40bfe30,2022-07-06,10,10
b7d36d40-cdc0-4a14-a5e6-27a9b03bb26f,2024-06-22,45,45
4a627154-8965-4a1f-9495-d1bb08477ee4,2023-10-15,1,10
34d870d8-1151-481d-a2a3-ef1c5923446f,2023-09-21,1,10
6864444d-f6c5-4308-b212-0490b905c293,2024-01-30,10,90
7d3f8702-9b23-43c5-af98-d1ae4b8d37fb,2024-08-26,10,14
250d7cf0-b50a-48df-bdd9-c19f806682b6,2024-03-30,1,7
3153dc2b-9fbe-4c2a-9f42-74748c22f8dc,2024-04-02,1,10
264ea9b6-d32a-4352-b4ac-3e3fed71cf54,2023-02-03,1,1
08bcab26-5187-469f-81f3-8112897c6dad,2023-02-28,1,10
74941c29-45e4-48de-b2f9-c382372fcc40,2023-08-07,7,7
6855f2e7-d461-4b96-8669-5b338d897856,2024-02-18,1,1
f33844da-19a0-48c8-8bb9-4e3ce34dbecb,2023-03-03,1,1
c834aa91-fd38-4692-93e6-c655279d2843,2023-08-31,90,90
16ab953f-2322-4905-bced-4763ce1e9809,2023-10-16,10,30
144bd69b-5819-421e-bd1c-ed97320a6f35,2023-12-29,14,30
ae275b47-b5b3-4629-b1ef-f0f14ab1396b,2023-12-09,1,1
9091a4d0-c651-4b16-813e-51503218455a,2022-11-25,1,1
fe63bf99-0a6a-4d8f-87e8-e19398e470fa,2024-04-29,1,14
9f5230e6-b59b-4d0c-91dc-ff6603f067b4,2024-08-12,1,1
58cad5f3-9242-4a01-8183-d4f967c6cf19,2023-05-14,1,10
6326e346-ae85-46ef-b5ee-5fda82a5f41a,2023-05-26,1,1
c9e553a7-7fc7-4d68-8a6e-0be0ba2c2696,2024-05-23,1,14
083c8e45-291d-4be8-8e01-68a29dd04224,2024-06-16,1,1
c64e1358-f0fc-4d6b-aa28-6c34faab2310,2023-02-01,1,10
e3a38f4a-360c-4881-a02a-2d5a9dd59b68,2023-05-29,7,10
1e807bc9-b0f4-408a-89fb-027a34e00ea1,2024-10-31,1,10
6d150e01-61bd-44ea-a1bc-21cb17632914,2025-04-01,1,10
db773522-b2ab-464f-9ec8-47f2ca370107,2022-07-11,10,10
8f10a37c-4255-4f85-b949-5474bafd6a75,2022-06-28,1,1
ccd16dcb-e088-4527-ac91-9f2b5a669f9d,2022-06-27,1,1
c1b88d70-4825-488e-9df4-40952cf230c9,2024-06-30,1,1
9ca8fa92-2fc4-4f43-9dcc-ba7d57ab0084,2019-07-08,1,90
88fa9360-a803-4bda-ab2e-dee778fc0a2f,2019-07-08,1,1
5284eb0c-be22-4369-b864-b05c6f437c2b,2024-12-14,1,10
dd330dd7-cfb8-4bbc-b514-fdf6d57c6cbf,2020-11-08,7,10
e77735f3-5ccb-4e1a-b466-67f6fdb7918e,2021-09-06,1,10
79b6e54d-ea46-4421-9356-87e2f6ea6e10,2022-07-06,1,90
b92afb76-9ae6-40d0-9271-c2cd8c74f88f,2022-09-14,1,1
880537b5-d75b-440b-9677-c22d6653879d,2023-02-26,1,10
89870314-9e9a-406e-a3ae-a1f3fc3e5141,2023-03-30,1,10
3a6cf0ad-96c3-40d6-9ad7-6222e593f632,2023-03-12,1,120
0ee9e9ac-9aba-4003-af7a-22fa6830f2cb,2023-02-28,90,90
a9bbc2a8-ffb6-4770-8e62-293ceadee4d5,2023-04-12,1,10
8b0ee4b7-9432-4cc2-8b0f-2d87b37ead4c,2022-10-18,7,10
130c062e-604c-459f-b394-dac5f72f4bde,2022-03-05,1,10
5c82c4f4-6cd6-454f-986a-2f8fcf998b0d,2022-03-05,1,1
b7b79d82-05a0-4614-850c-ad4529c62caf,2022-05-11,7,10
1f7bb874-eb92-4ede-bcc4-679bfc3b6086,2022-06-28,1,10
39fcf414-766a-4632-9247-32705a0d65c2,2022-11-11,1,1
af5cdd77-8625-4f02-8ca0-3a2a8c205011,2022-02-20,1,10
3012e31c-65e4-4f36-9ad7-e9b4745cee71,2022-12-28,1,10
e43628e0-eda8-4b29-99b8-5d3921ad66f2,2022-08-19,10,10
07cd4e4f-6e35-4ef8-b16e-10252b967a01,2023-10-01,30,30
4ce2f7f7-c963-4934-b0c7-0f1f8ad7bc9a,2024-05-22,7,14
13527f9f-26a7-4433-8383-9e74e8bc428a,2023-10-20,10,30
84071e88-18b7-48ef-bd63-da0c7e18059f,2024-03-23,10,90
091c7d5d-153c-4a4a-ade3-d8d9f19cfd27,2023-12-05,14,30
62516556-c586-43f9-9fd6-9a4d9e4fa124,2023-09-28,1,7
f6893259-a4fb-41e1-b00b-45dd4ebfb99c,2024-03-21,1,7
6f70f63c-51b9-4bf6-8c74-4761bb21b155,2023-08-07,1,14
13aeb598-3100-4129-b7fe-e11cd5571526,2024-05-23,10,14
ca6b54f4-0c60-48c6-b8dc-183679fbec82,2024-03-16,7,30
ce10b0df-8887-46f7-bdfb-c4ec05361484,2023-12-18,1,1
a526e2a4-8efc-4ad7-a2b0-ef7355178f73,2024-04-15,10,90
c3b06b70-bc38-437d-88f6-1c1af41b9fcc,2024-07-07,1,14
3acf9bcf-6d55-4942-99eb-b787be4d0158,2024-01-29,14,14
d2409e35-8709-47e7-b2b7-2722616df2c7,2024-04-04,10,14
a3eb6e12-fa9b-4bae-a7e7-5087fad72ca6,2025-03-30,1,1
f955cd06-afa8-4234-8afd-faa96374a5c6,2022-11-02,1,10
843c8811-0862-480f-a19a-7bef97e890a0,2023-10-12,1,1
f0b0c721-d8c5-4a85-8098-99a19b50d6c6,2023-04-12,1,1
54205b2b-aad3-40b1-992d-b206729bf73a,2024-07-31,1,30
892a4df9-257e-4657-a632-3f2514b4ae9f,2024-10-14,1,14
